,age,education-num,hours-per-week,capital-gain,capital-loss,sex,married,income
original,25,9,40,0,0,1,1,0
cf_1,25,9,14,79070,0,1,1,1
cf_2,25,12,40,0,2775,1,1,1
cf_3,25,9,40,15628,0,1,0,1
cf_4,25,9,40,36007,2616,1,1,1
cf_5,25,3,40,90219,0,1,1,1
cf_6,25,9,40,0,2615,1,0,1
cf_7,25,16,40,45568,0,1,1,1
cf_8,25,9,40,0,4032,1,0,1
cf_9,25,9,40,52387,0,1,1,1
cf_10,25,1,40,21875,0,1,1,1
cf_11,25,9,40,87741,0,1,0,1
cf_12,25,9,40,0,2829,1,0,1
cf_13,25,9,72,85358,0,1,1,1
cf_14,25,9,40,55497,0,1,1,1
cf_15,25,10,40,34432,0,1,1,1
cf_16,25,9,40,0,1921,1,1,1
cf_17,25,9,40,11432,2447,1,1,1
cf_18,25,9,40,8955,1777,1,1,1
cf_19,25,9,40,82512,0,1,1,1
cf_20,25,15,40,76109,0,1,1,1
cf_21,25,7,40,46647,0,1,1,1
cf_22,25,9,40,91638,0,1,1,1
cf_23,25,2,40,60550,0,1,1,1
cf_24,25,9,40,28380,0,1,1,1
cf_25,25,9,40,45518,0,1,0,1
cf_26,25,9,40,48859,0,1,1,1
cf_27,25,10,40,93501,0,1,1,1
cf_28,25,9,6,33476,0,1,1,1
cf_29,25,9,40,76563,1174,1,1,1
cf_30,25,9,9,93827,0,1,1,1
cf_31,25,10,40,35405,0,1,1,1
cf_32,25,9,40,56198,0,1,1,1
cf_33,25,13,40,87168,0,1,1,1
cf_34,25,9,40,49123,0,1,1,1
cf_35,25,12,40,54566,0,1,1,1
cf_36,25,15,40,0,3268,1,1,1
cf_37,25,13,40,0,2475,1,1,1
cf_38,25,9,40,10100,0,1,1,1
cf_39,25,16,40,68463,0,1,1,1
cf_40,25,9,40,60954,0,1,1,1
cf_41,25,9,81,0,0,1,1,1
cf_42,25,9,40,74095,0,1,0,1
cf_43,25,9,40,40523,0,1,1,1
cf_44,25,9,40,37829,0,1,1,1
cf_45,25,9,40,73932,0,1,1,1
cf_46,25,9,40,69652,0,1,1,1
cf_47,25,10,40,59197,0,1,1,1
cf_48,25,9,40,77496,0,1,1,1
cf_49,25,9,98,20300,0,1,1,1
cf_50,25,13,40,46448,0,1,1,1
