,age,education-num,hours-per-week,capital-gain,capital-loss,sex,married,income
original,18,9,20,0,0,1,1,0
cf_1,18,9,41,94187,0,1,1,1
cf_2,18,14,20,70282,0,1,1,1
cf_3,18,9,83,76957,0,1,1,1
cf_4,18,12,20,75394,0,1,1,1
cf_5,18,15,20,60967,0,1,1,1
cf_6,18,9,54,82067,0,1,1,1
cf_7,18,14,20,26257,0,1,1,1
cf_8,18,9,84,74871,0,1,1,1
cf_9,18,9,59,93221,0,1,1,1
cf_10,18,9,87,14511,0,1,1,1
cf_11,18,9,56,50099,0,1,1,1
cf_12,18,9,20,8698,0,1,0,0
cf_13,18,9,20,10448,0,1,0,1
cf_14,18,9,20,9780,0,1,1,0
cf_15,18,9,54,56239,0,1,1,1
